Date,Index_2x,MA_2x
2021-03-18,6697.929931640625,5242.785684570313
2021-03-19,6693.210205078125,5247.164245117187
2021-03-22,6748.190185546875,5251.705125
2021-03-23,6688.050048828125,5256.0854453125
2021-03-24,6645.289794921875,5260.304405273438
2021-03-25,6686.050048828125,5264.473725585937
2021-03-26,6816.090087890625,5268.90292578125
2021-03-29,6809.190185546875,5273.293686523438
2021-03-30,6784.110107421875,5277.610327148437
2021-03-31,6812.789794921875,5281.930926757813
2021-04-01,6906.750244140625,5286.427327148437
2021-04-05,7022.829833984375,5291.226166992187
2021-04-06,7014.889892578125,5295.969086914062
2021-04-07,7026.909912109375,5300.735606445312
2021-04-08,7061.349853515625,5305.494646484375
2021-04-09,7124.609619140625,5310.387525390625
2021-04-12,7122.990478515625,5315.27124609375
2021-04-13,7150.189697265625,5320.235805664062
2021-04-14,7116.330322265625,5325.114326171875
2021-04-15,7207.849853515625,5330.164125976563
2021-04-16,7237.950439453125,5335.171287109375
2021-04-19,7193.529541015625,5340.115326171875
2021-04-20,7136.889892578125,5344.95040625
2021-04-21,7213.849853515625,5349.88456640625
2021-04-22,7136.969970703125,5354.6523662109375
2021-04-23,7227.349853515625,5359.589725585937
2021-04-26,7242.250244140625,5364.6452861328125
2021-04-27,7240.450439453125,5369.722086914063
2021-04-28,7233.370361328125,5374.672248046875
2021-04-29,7289.950439453125,5379.788249023438
2021-04-30,7229.349853515625,5384.976728515625
2021-05-03,7252.330322265625,5390.229689453125
2021-05-04,7196.330322265625,5395.405450195312
2021-05-05,7202.189697265625,5400.5502099609375
2021-05-06,7270.250244140625,5406.109209960938
2021-05-07,7332.210205078125,5411.701970703125
2021-05-10,7243.870361328125,5417.0518515625
2021-05-11,7171.210205078125,5422.154971679687
2021-05-12,6993.090087890625,5426.96901171875
2021-05-13,7092.010009765625,5432.058091796875
2021-05-14,7214.710205078125,5437.296051757812
2021-05-17,7193.590087890625,5442.524131835938
2021-05-18,7122.670166015625,5447.7464921875
2021-05-19,7098.370361328125,5452.90497265625
2021-05-20,7185.250244140625,5458.331893554688
2021-05-21,7178.729736328125,5463.823252929687
2021-05-24,7261.109619140625,5469.45601171875
2021-05-25,7243.269775390625,5475.200291015625
2021-05-26,7258.990478515625,5481.006452148437
2021-05-27,7268.769775390625,5486.596891601563
2021-05-28,7275.229736328125,5492.1087314453125
2021-06-01,7271.090087890625,5497.542931640625
2021-06-02,7283.250244140625,5502.882051757812
2021-06-03,7252.710205078125,5508.106532226562
2021-06-04,7326.790283203125,5513.483212890625
2021-06-07,7320.050048828125,5518.869932617187
2021-06-08,7321.529541015625,5524.212412109375
2021-06-09,7306.109619140625,5529.54269140625
2021-06-10,7345.370361328125,5534.940732421875
