Date,Price,MA_Index,Cumulative_2x,MA_2x
2012-04-24,1371.969970703125,1237.5893392333985,1610.949951171875,1342.1886882324218
2012-04-25,1390.68994140625,1237.9661990966797,1648.389892578125,1342.9424079589844
2012-04-26,1399.97998046875,1238.4189591064453,1666.969970703125,1343.8479279785156
2012-04-27,1403.3599853515625,1238.893939086914,1673.72998046875,1344.7978879394532
2012-04-30,1397.9100341796875,1239.4334591064453,1662.830078125,1345.8769279785156
2012-05-01,1405.8199462890625,1240.0233389892578,1678.64990234375,1347.0566877441406
2012-05-02,1402.31005859375,1240.5084991455078,1671.630126953125,1348.0270080566406
2012-05-03,1391.5699462890625,1240.9800589599608,1650.14990234375,1348.970127685547
2012-05-04,1369.0999755859375,1241.3749188232423,1605.2099609375,1349.7598474121094
2012-05-07,1369.5799560546875,1241.7991988525391,1606.169921875,1350.608407470703
2012-05-08,1363.719970703125,1242.2552786865235,1594.449951171875,1351.5205671386718
2012-05-09,1354.5799560546875,1242.6905587158203,1576.169921875,1352.3911271972656
2012-05-10,1357.989990234375,1243.1649385986327,1582.989990234375,1353.3398869628907
2012-05-11,1353.3900146484375,1243.6416185302735,1573.7900390625,1354.293246826172
2012-05-14,1338.3499755859375,1244.1751385498046,1543.7099609375,1355.3602868652345
2012-05-15,1330.6600341796875,1244.6610787353516,1528.330078125,1356.3321672363281
2012-05-16,1324.800048828125,1245.1633787841797,1516.610107421875,1357.3367673339844
2012-05-17,1304.8599853515625,1245.625038696289,1476.72998046875,1358.260087158203
2012-05-18,1295.219970703125,1246.0795787353516,1457.449951171875,1359.1691672363281
2012-05-21,1315.989990234375,1246.5054385986327,1498.989990234375,1360.0208869628907
2012-05-22,1316.6300048828125,1246.959878540039,1500.27001953125,1360.9297668457032
2012-05-23,1318.8599853515625,1247.4561785888673,1504.72998046875,1361.9223669433593
2012-05-24,1320.6800537109375,1247.9007786865234,1508.3701171875,1362.8115671386718
2012-05-25,1317.8199462890625,1248.330758666992,1502.64990234375,1363.6715270996094
2012-05-29,1332.4200439453125,1248.8658387451171,1531.85009765625,1364.7416872558595
2012-05-30,1313.3199462890625,1249.391538696289,1493.64990234375,1365.7930871582032
2012-05-31,1310.3299560546875,1249.8881986083984,1487.669921875,1366.7864069824218
2012-06-01,1278.0400390625,1250.332898803711,1423.090087890625,1367.6758073730468
2012-06-04,1278.1800537109375,1250.7155789794922,1423.3701171875,1368.4411677246094
2012-06-05,1285.5,1251.1033790283202,1438.010009765625,1369.2167678222656
2012-06-06,1315.1300048828125,1251.5543790283202,1497.27001953125,1370.1187678222657
2012-06-07,1314.989990234375,1251.9538990478516,1496.989990234375,1370.9178078613281
2012-06-08,1325.6600341796875,1252.3759991455079,1518.330078125,1371.7620080566405
