Date,Price,MA_Index
2020-06-30,3100.2900390625,2899.4132548828125
2020-07-01,3115.860107421875,2900.1253349609374
2020-07-02,3130.010009765625,2900.817015136719
2020-07-06,3179.719970703125,2901.5887749023436
2020-07-07,3145.320068359375,2902.331375
2020-07-08,3169.93994140625,2903.0746748046877
2020-07-09,3152.050048828125,2903.7761547851565
2020-07-10,3185.0400390625,2904.549375
2020-07-13,3155.219970703125,2905.24071484375
2020-07-14,3197.52001953125,2906.0045146484376
2020-07-15,3226.56005859375,2906.848654785156
2020-07-16,3215.570068359375,2907.676134765625
2020-07-17,3224.72998046875,2908.511634765625
2020-07-20,3251.840087890625,2909.374515136719
2020-07-21,3257.300048828125,2910.1969750976564
2020-07-22,3276.02001953125,2911.074135253906
2020-07-23,3235.659912109375,2911.9078149414063
2020-07-24,3215.6298828125,2912.7338745117186
2020-07-27,3239.409912109375,2913.5801142578125
2020-07-28,3218.43994140625,2914.3902739257815
2020-07-29,3258.43994140625,2915.2527138671876
2020-07-30,3246.219970703125,2916.0644536132813
2020-07-31,3271.1201171875,2916.9058940429686
2020-08-03,3294.610107421875,2917.7782143554687
2020-08-04,3306.510009765625,2918.6758344726563
2020-08-05,3327.77001953125,2919.6242143554687
2020-08-06,3349.159912109375,2920.6559741210935
2020-08-07,3351.280029296875,2921.714674316406
2020-08-10,3360.469970703125,2922.7556943359373
2020-08-11,3333.68994140625,2923.786333984375
2020-08-12,3380.35009765625,2924.865654296875
2020-08-13,3373.429931640625,2925.9122543945314
2020-08-14,3372.85009765625,2926.9438544921877
2020-08-17,3381.989990234375,2927.9819145507813
2020-08-18,3389.780029296875,2929.0378344726564
2020-08-19,3374.85009765625,2930.073574707031
2020-08-20,3385.510009765625,2931.09521484375
2020-08-21,3397.159912109375,2932.0960546875
2020-08-24,3431.280029296875,2933.1635747070313
2020-08-25,3443.6201171875,2934.2227348632814
2020-08-26,3478.72998046875,2935.3779350585937
2020-08-27,3484.550048828125,2936.5439951171875
2020-08-28,3508.010009765625,2937.7665751953127
2020-08-31,3500.31005859375,2938.9899951171874
2020-09-01,3526.64990234375,2940.2871948242187
2020-09-02,3580.840087890625,2941.7055151367185
2020-09-03,3455.06005859375,2942.8613754882813
2020-09-04,3426.9599609375,2943.939515625
2020-09-08,3331.840087890625,2944.825355957031
2020-09-09,3398.9599609375,2945.814916015625
2020-09-10,3339.18994140625,2946.6833359375
2020-09-11,3340.969970703125,2947.58767578125
2020-09-14,3383.5400390625,2948.5461357421873
2020-09-15,3401.199951171875,2949.5326357421877
2020-09-16,3385.489990234375,2950.442115722656
2020-09-17,3357.010009765625,2951.2967958984377
2020-09-18,3319.469970703125,2952.0969956054687
2020-09-21,3281.06005859375,2952.827995605469
