Price,China
Ticker,000001.SS
Date,
1999-06-09,1348.60595703125
1999-06-10,1364.344970703125
1999-06-11,1364.3480224609375
1999-06-14,1427.70703125
1999-06-15,1387.592041015625
1999-06-16,1460.16796875
1999-06-17,1501.0069580078125
1999-06-18,1498.9150390625
1999-06-21,1546.407958984375
1999-06-22,1564.4439697265625
1999-06-23,1606.5
1999-06-24,1654.1099853515625
1999-06-25,1593.8590087890625
1999-06-28,1693.1600341796875
1999-06-29,1739.2049560546875
1999-06-30,1689.427978515625
1999-07-01,1560.7869873046875
1999-07-02,1561.3890380859375
1999-07-05,1581.8189697265625
1999-07-06,1517.2530517578125
1999-07-07,1568.6519775390625
1999-07-08,1577.987060546875
1999-07-09,1584.75
1999-07-12,1559.7320556640625
1999-07-13,1524.821044921875
1999-07-14,1559.52001953125
1999-07-15,1549.3360595703125
1999-07-16,1519.740966796875
1999-07-19,1479.0760498046875
1999-07-20,1574.60302734375
1999-07-21,1609.81103515625
1999-07-22,1550.72998046875
1999-07-23,1585.97998046875
1999-07-26,1602.031005859375
1999-07-27,1590.7130126953125
1999-07-28,1597.198974609375
1999-07-29,1595.8599853515625
1999-07-30,1601.458984375
1999-08-02,1616.2760009765625
1999-08-03,1626.8409423828125
1999-08-04,1649.1280517578125
1999-08-05,1653.5369873046875
1999-08-06,1646.593017578125
1999-08-09,1628.8360595703125
1999-08-10,1602.14697265625
1999-08-11,1583.4010009765625
1999-08-12,1575.6419677734375
1999-08-13,1571.9010009765625
1999-08-16,1560.0679931640625
1999-08-17,1576.405029296875
1999-08-18,1581.928955078125
1999-08-19,1637.7430419921875
1999-08-20,1628.9339599609375
1999-08-23,1644.9990234375
1999-08-24,1648.468994140625
1999-08-25,1625.7650146484375
1999-08-26,1638.2330322265625
1999-08-27,1633.9000244140625
1999-08-30,1619.0389404296875
1999-08-31,1627.115966796875
1999-09-01,1599.552001953125
1999-09-02,1611.9580078125
1999-09-03,1587.886962890625
1999-09-06,1560.677978515625
1999-09-07,1562.779052734375
1999-09-08,1571.5980224609375
1999-09-09,1675.1219482421875
1999-09-10,1659.928955078125
1999-09-13,1670.1429443359375
1999-09-14,1672.8919677734375
1999-09-15,1662.802978515625
1999-09-16,1645.510986328125
1999-09-17,1648.5579833984375
1999-09-20,1633.8349609375
1999-09-21,1625.5880126953125
1999-09-22,1617.0570068359375
1999-09-23,1604.2030029296875
1999-09-24,1619.3260498046875
1999-09-27,1602.157958984375
1999-09-28,1591.4320068359375
1999-09-29,1584.9539794921875
1999-09-30,1570.7020263671875
1999-10-08,1534.5150146484375
1999-10-11,1522.47998046875
1999-10-12,1537.7960205078125
1999-10-13,1507.4219970703125
1999-10-14,1508.7259521484375
1999-10-15,1543.7979736328125
1999-10-18,1501.6650390625
1999-10-19,1470.9000244140625
1999-10-20,1485.8270263671875
1999-10-21,1458.530029296875
1999-10-22,1497.4620361328125
1999-10-25,1468.2659912109375
1999-10-26,1482.6669921875
1999-10-27,1536.821044921875
1999-10-28,1514.5250244140625
1999-10-29,1504.56298828125
1999-11-01,1493.095947265625
1999-11-02,1487.468994140625
1999-11-03,1475.6839599609375
1999-11-04,1464.8280029296875
1999-11-05,1465.2320556640625
1999-11-08,1471.375
1999-11-09,1464.030029296875
1999-11-10,1450.1519775390625
1999-11-11,1443.905029296875
1999-11-12,1450.3270263671875
1999-11-15,1451.5360107421875
1999-11-16,1431.3189697265625
1999-11-17,1462.7900390625
1999-11-18,1482.4520263671875
1999-11-19,1468.4720458984375
1999-11-22,1464.5880126953125
1999-11-23,1466.4339599609375
1999-11-24,1454.5780029296875
1999-11-25,1444.240966796875
1999-11-26,1444.512939453125
1999-11-29,1435.468017578125
1999-11-30,1434.9730224609375
1999-12-01,1447.115966796875
1999-12-02,1435.8370361328125
1999-12-03,1437.2330322265625
1999-12-06,1426.9949951171875
1999-12-07,1428.260986328125
1999-12-08,1424.8480224609375
1999-12-09,1416.7259521484375
1999-12-10,1428.93896484375
1999-12-13,1417.1070556640625
1999-12-14,1422.262939453125
1999-12-15,1451.0570068359375
1999-12-16,1434.866943359375
1999-12-17,1419.551025390625
1999-12-21,1395.4969482421875
1999-12-22,1387.510009765625
1999-12-23,1369.4610595703125
1999-12-24,1355.366943359375
1999-12-27,1345.35205078125
1999-12-28,1348.821044921875
1999-12-29,1356.926025390625
1999-12-30,1366.5799560546875
2000-01-04,1406.3709716796875
