Price,Japan
Ticker,^N225
Date,
1999-07-08,17967.650390625
1999-07-09,17937.73046875
1999-07-12,18274.1796875
1999-07-13,18181.08984375
1999-07-14,18357.859375
1999-07-15,18431.859375
1999-07-16,18248.30078125
1999-07-19,18532.580078125
1999-07-21,18257.51953125
1999-07-22,17730.33984375
1999-07-23,17534.439453125
1999-07-26,17491.33984375
1999-07-27,17462.720703125
1999-07-28,17579.91015625
1999-07-29,17869.919921875
1999-07-30,17861.859375
1999-08-02,17825.69921875
1999-08-03,17969.9296875
1999-08-04,17685.380859375
1999-08-05,17358.189453125
1999-08-06,17084.240234375
1999-08-09,17190.44921875
1999-08-10,17202.08984375
1999-08-11,17211.16015625
1999-08-12,17422.970703125
1999-08-13,17435.169921875
1999-08-16,17826.029296875
1999-08-17,17860.08984375
1999-08-18,17892.259765625
1999-08-19,17879.740234375
1999-08-20,18098.109375
1999-08-23,18233.55078125
1999-08-24,18095.41015625
1999-08-25,17855.16015625
1999-08-26,17666.2890625
1999-08-27,17599.369140625
1999-08-30,17918.970703125
1999-08-31,17436.560546875
1999-09-01,17802.48046875
1999-09-02,17631.25
1999-09-03,17629.990234375
1999-09-06,17756.509765625
1999-09-07,17707.5
1999-09-08,17641.380859375
1999-09-09,17677.560546875
1999-09-10,17711.01953125
1999-09-13,17909.2890625
1999-09-14,17777.220703125
1999-09-16,17291.58984375
1999-09-17,17342.26953125
1999-09-20,17575.259765625
1999-09-21,17932.7890625
1999-09-22,17325.759765625
1999-09-24,16871.73046875
1999-09-27,16821.060546875
1999-09-28,17325.69921875
1999-09-29,17282.279296875
1999-09-30,17605.4609375
1999-10-01,17712.560546875
1999-10-04,17763.7109375
1999-10-05,17784.150390625
1999-10-06,17896.419921875
1999-10-07,18136.55078125
1999-10-08,18062.1796875
1999-10-12,18090.810546875
1999-10-13,17754.490234375
1999-10-14,17780.259765625
1999-10-15,17601.5703125
1999-10-18,17275.330078125
1999-10-19,17254.169921875
1999-10-20,17534.7109375
1999-10-21,17448.26953125
1999-10-22,17438.80078125
1999-10-25,17648.7890625
1999-10-26,17671.7890625
1999-10-27,17382.359375
1999-10-28,17413.7109375
1999-10-29,17942.080078125
1999-11-01,17996.919921875
1999-11-02,17991.9609375
1999-11-04,18348.130859375
1999-11-05,18354.900390625
1999-11-08,18240.98046875
1999-11-09,18292.16015625
1999-11-10,18567.869140625
1999-11-11,18327.279296875
1999-11-12,18258.55078125
1999-11-15,18198.08984375
1999-11-16,18155.140625
1999-11-17,18274.8203125
1999-11-18,18532.810546875
1999-11-19,18570.83984375
1999-11-22,18822.119140625
1999-11-24,18896.2109375
1999-11-25,18721.779296875
1999-11-26,18914.5
1999-11-29,18850.26953125
1999-11-30,18558.23046875
1999-12-01,18495.94921875
1999-12-02,18514.41015625
1999-12-03,18368.140625
1999-12-06,18507.19921875
1999-12-07,18593.9609375
1999-12-08,18401.19921875
1999-12-09,18260.720703125
1999-12-10,18271.849609375
1999-12-13,18205.080078125
1999-12-14,18165.55078125
1999-12-15,18138.359375
1999-12-16,18111.310546875
1999-12-17,18095.119140625
1999-12-20,18175.490234375
1999-12-21,18080.380859375
1999-12-22,18461.9296875
1999-12-24,18584.94921875
1999-12-27,18546.900390625
1999-12-28,18783.51953125
1999-12-29,18810.580078125
1999-12-30,18934.33984375
2000-01-04,19002.859375
2000-01-05,18542.55078125
2000-01-06,18168.26953125
2000-01-07,18193.41015625
2000-01-11,18850.919921875
2000-01-12,18677.419921875
2000-01-13,18833.2890625
2000-01-14,18956.55078125
2000-01-17,19437.23046875
2000-01-18,19196.5703125
2000-01-19,18897.75
2000-01-20,19008.009765625
2000-01-21,18878.08984375
2000-01-24,19056.7109375
2000-01-25,18895.529296875
2000-01-26,19111.189453125
2000-01-27,19209.720703125
2000-01-28,19434.779296875
2000-01-31,19539.69921875
2000-02-01,19423.380859375
2000-02-02,19578.91015625
2000-02-03,19786.419921875
2000-02-04,19763.130859375
2000-02-07,19945.4296875
2000-02-08,19868.880859375
2000-02-09,20007.76953125
2000-02-10,19710.01953125
2000-02-14,19556.4609375
2000-02-15,19367.830078125
2000-02-16,19599.1796875
2000-02-17,19791.400390625
2000-02-18,19789.029296875
2000-02-21,19543.75
2000-02-22,19390.580078125
2000-02-23,19519.55078125
2000-02-24,19571.439453125
2000-02-25,19817.880859375
2000-02-28,19720.099609375
2000-02-29,19959.51953125
2000-03-01,20081.669921875
2000-03-02,20065.109375
2000-03-03,19927.5390625
2000-03-06,19796.349609375
