Price,Germany
Ticker,
Date,
2017-05-31,13876.565527343751
2017-06-01,13931.4119140625
2017-06-02,14105.234472656251
2017-06-06,13959.13212890625
2017-06-07,13939.739257812502
2017-06-08,13984.938085937501
2017-06-09,14097.291699218751
2017-06-12,13959.484472656251
2017-06-13,14041.478515625002
2017-06-14,14086.54521484375
2017-06-15,13960.99052734375
2017-06-16,14028.003515625001
2017-06-19,14177.845214843752
2017-06-20,14096.269042968752
2017-06-21,14051.685742187501
2017-06-22,14073.400000000001
2017-06-23,14006.751171875001
2017-06-26,14047.913085937502
2017-06-27,13938.121484375
2017-06-28,13911.996484375
2017-06-29,13657.80947265625
2017-06-30,13557.63212890625
2017-07-03,13722.840527343751
2017-07-04,13680.842871093751
2017-07-05,13699.04765625
2017-07-06,13619.375000000002
2017-07-07,13627.54765625
2017-07-10,13690.511914062501
2017-07-11,13680.721484375
2017-07-12,13889.2380859375
2017-07-13,13905.463085937501
2017-07-14,13894.891699218751
2017-07-17,13845.876171875001
2017-07-18,13673.42861328125
2017-07-19,13697.25478515625
2017-07-20,13691.975
2017-07-21,13464.065527343751
2017-07-24,13429.845214843752
2017-07-25,13490.74052734375
2017-07-26,13535.62138671875
2017-07-27,13433.24404296875
2017-07-28,13378.970214843752
2017-07-31,13330.075
2017-08-01,13476.419042968751
2017-08-02,13399.628515625001
2017-08-03,13370.19169921875
2017-08-04,13527.491699218752
2017-08-07,13482.886914062501
2017-08-08,13521.25478515625
2017-08-09,13369.400000000001
2017-08-10,13215.72978515625
2017-08-11,13215.465527343751
2017-08-14,13381.63212890625
2017-08-15,13394.74404296875
2017-08-16,13490.24638671875
2017-08-17,13423.80595703125
2017-08-18,13381.709472656252
2017-08-21,13272.5892578125
2017-08-22,13452.273828125
2017-08-23,13391.72978515625
2017-08-24,13398.913085937502
2017-08-25,13384.734472656251
2017-08-28,13335.81669921875
2017-08-29,13140.467871093751
2017-08-30,13202.71669921875
2017-08-31,13261.423828125002
2017-09-01,13356.90361328125
2017-09-04,13312.43095703125
2017-09-05,13336.08095703125
2017-09-06,13435.99404296875
2017-09-07,13526.29287109375
2017-09-08,13534.378515625001
2017-09-11,13722.764257812501
2017-09-12,13777.246484375
2017-09-13,13808.927343750001
2017-09-14,13794.495214843751
2017-09-15,13770.690527343751
2017-09-18,13815.328613281252
2017-09-19,13817.96904296875
2017-09-20,13826.086914062502
2017-09-21,13860.033300781251
2017-09-22,13851.584570312501
2017-09-25,13854.290527343752
2017-09-26,13865.720214843752
2017-09-27,13923.151171875
2017-09-28,13975.115429687501
2017-09-29,14111.74638671875
2017-10-02,14192.9154296875
2017-10-04,14267.571484375001
2017-10-05,14264.85478515625
2017-10-06,14251.53447265625
2017-10-09,14274.0404296875
2017-10-10,14244.175000000001
2017-10-11,14267.747656250001
2017-10-12,14281.17861328125
2017-10-13,14291.057128906252
2017-10-16,14304.07021484375
2017-10-17,14294.565527343751
2017-10-18,14347.33330078125
2017-10-19,14289.109570312501
2017-10-20,14290.408300781251
2017-10-23,14303.453613281252
2017-10-24,14314.509472656251
2017-10-25,14248.751171875001
2017-10-26,14446.60830078125
2017-10-27,14539.294042968751
2017-10-30,14552.527343750002
2017-11-01,14812.060742187501
2017-11-02,14785.022656250001
2017-11-03,14826.74638671875
2017-11-06,14815.669042968751
2017-11-07,14717.196484375001
2017-11-08,14720.6619140625
2017-11-09,14500.815527343751
2017-11-10,14440.21669921875
2017-11-13,14381.861914062501
2017-11-14,14336.828515625
2017-11-15,14274.00712890625
2017-11-16,14351.94169921875
2017-11-17,14293.103515625002
2017-11-20,14364.526171875
2017-11-21,14484.294042968751
2017-11-22,14316.544042968751
2017-11-23,14309.404785156252
2017-11-24,14365.823828125001
2017-11-27,14300.220214843752
2017-11-28,14365.48330078125
2017-11-29,14368.057128906252
2017-11-30,14326.378515625001
2017-12-01,14147.639257812501
2017-12-04,14364.404785156252
2017-12-05,14353.394042968752
2017-12-06,14298.734570312501
2017-12-07,14349.6654296875
2017-12-08,14469.07021484375
2017-12-11,14436.0154296875
2017-12-12,14501.883300781252
2017-12-13,14438.203613281252
2017-12-14,14374.8880859375
2017-12-15,14413.915527343752
2017-12-18,14643.529785156252
2017-12-19,14537.36904296875
2017-12-20,14376.086914062502
2017-12-21,14420.7142578125
2017-12-22,14380.069042968751
2017-12-27,14377.021484375002
2017-12-28,14277.93447265625
2017-12-29,14209.40361328125
2018-01-02,14158.52861328125
2018-01-03,14276.030957031251
2018-01-04,14484.67861328125
2018-01-05,14651.603613281251
2018-01-08,14704.558300781251
2018-01-09,14724.148828125
2018-01-10,14609.473828125001
2018-01-11,14523.190429687502
2018-01-12,14569.533300781251
2018-01-15,14520.560742187501
2018-01-16,14570.963085937501
2018-01-17,14502.355957031252
2018-01-18,14609.57265625
2018-01-19,14777.895214843751
2018-01-22,14810.05947265625
2018-01-23,14915.559570312502
2018-01-24,14756.2142578125
2018-01-25,14628.196386718751
2018-01-26,14674.1869140625
2018-01-29,14656.928515625
2018-01-30,14517.480957031252
2018-01-31,14508.428515625
2018-02-01,14304.2904296875
2018-02-02,14063.676171875
2018-02-05,13956.239257812502
2018-02-06,13631.926171875
2018-02-07,13849.472656250002
2018-02-08,13486.319042968751
2018-02-09,13318.228515625002
2018-02-12,13511.046484375001
2018-02-13,13416.150000000001
2018-02-14,13573.076171875002
2018-02-15,13580.7869140625
2018-02-16,13697.155957031251
2018-02-19,13624.1595703125
2018-02-20,13736.690429687502
2018-02-21,13717.539257812501
2018-02-22,13708.101171875001
2018-02-23,13732.169042968751
2018-02-26,13779.74404296875
2018-02-27,13739.803515625
2018-02-28,13679.434570312502
2018-03-01,13410.03447265625
2018-03-02,13105.08095703125
2018-03-05,13299.957128906251
2018-03-06,13325.25712890625
2018-03-07,13469.89638671875
2018-03-08,13591.12734375
2018-03-09,13581.347656250002
2018-03-12,13660.228613281251
2018-03-13,13443.133300781252
2018-03-14,13461.514257812501
2018-03-15,13580.11552734375
2018-03-16,13628.538085937502
2018-03-19,13438.721484375
2018-03-20,13538.063085937501
2018-03-21,13540.065429687502
2018-03-22,13310.088085937501
2018-03-23,13074.940527343751
2018-03-26,12965.9857421875
2018-03-27,13167.913085937502
2018-03-28,13134.780957031251
2018-03-29,13306.403515625001
2018-04-03,13202.69521484375
2018-04-04,13153.690429687502
2018-04-05,13535.709472656252
2018-04-06,13465.396484375002
2018-04-09,13487.925000000001
2018-04-10,13637.052343750001
2018-04-11,13523.366699218752
2018-04-12,13656.510742187502
2018-04-13,13686.6404296875
2018-04-16,13630.551171875
2018-04-17,13844.12734375
2018-04-18,13849.913085937502
2018-04-19,13824.1619140625
2018-04-20,13794.550000000001
2018-04-23,13829.628613281251
2018-04-24,13805.902343750002
2018-04-25,13664.529785156252
2018-04-26,13750.516699218751
2018-04-27,13838.957128906251
2018-04-30,13873.321386718751
2018-05-02,14082.475
2018-05-03,13959.1654296875
2018-05-04,14101.559570312502
2018-05-07,14242.953613281252
2018-05-08,14203.43095703125
2018-05-09,14237.36552734375
2018-05-10,14325.15712890625
2018-05-11,14301.364257812502
2018-05-14,14275.480957031252
2018-05-15,14267.044042968751
2018-05-16,14295.963085937501
2018-05-17,14426.071386718751
2018-05-18,14385.491699218752
2018-05-22,14486.9119140625
2018-05-23,14274.523828125
2018-05-24,14140.598828125001
